SMILES,made_by
Cc1ccc(N(c2ccc(C)c(-n3c4ccccc4c(=O)c4ccccc43)c2)c2cccc3c(-c4ccc(N(C)C)cc4)cc(-c4c5ncsc5cc5ncsc45)c(N(C)C)c23)cc1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3cccc4c3S(=O)(=O)c3ccc(-c5ccc6c(c5)S(=O)(=O)c5ccccc5-6)cc3-4)s2)C(=O)c2ccccc21,F
Cn1cnc2ccc(-c3ccc4c(c3)Nc3ccccc3O4)cc21,F
CC1(C)c2ccccc2N(CC2(C)c3ccccc3N(n3c4ccccc4c4cccnc43)c3ccc(-c4cscn4)cc32)c2ccccc21,F
Fc1cc(F)c(F)c([SH]2C=C([SiH]3c4ccccc4-c4ccccc43)C=C2c2cccs2)c1F,F
O=C1C=CC(=O)C(N2c3ccccc3N(c3ccccc3)c3ccccc32)=C1c1cc(Nc2ccc(F)c(O)c2)ccc1F,F
CN(C)c1ccc(-c2ccc(C=O)cc2-c2ccc(C(=O)C(F)(F)F)cc2)cc1O,F
COc1cc(OCc2cccn2C)cc(OC)c1N1c2ccccc2Oc2ccccc21,F
C#CCc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(-c3ccccc3-c3ccc(N(C)C)cc3)cc2C)c2c1cccc2-c1cc(C)c(B2c3ccccc3B(c3c(C)cccc3C)c3ccccc32)c(C)c1,F
Cc1cccc2c3cccc(C)c3n(-c3ccc(C(=C4C(=O)c5ccc(-c6cc7sccc7s6)cc5C4=C(C#N)C#N)c4ncc5c(c4-c4cc(C=O)ccc4C=O)[SiH2]c4ccncc4-5)cc3)c12,F
Cc1cc(C)c(B(c2ccc(N(C)Cc3ccccn3)cc2)c2c(C)cc(C)c(-c3c4ccoc4cc4ccoc34)c2C)c(C)c1,F
CN(C)c1ccc(-c2c(C#N)cc(C#N)c(-c3ccc4c(c3)sc3cc(C#N)ccc34)c2C#N)cc1,F
O=C1C=CC(=O)C([SH]2C=CC(n3c4ccccc4c4cccnc43)=C2c2cccs2)=C1,F
CN(C)c1ccc(Oc2ccc(N3CCOC(c4ccc(N5CCOCC5)cc4)C3)cc2)cc1,F
Sc1cccc2c1Nc1cccc(P(c3ccccc3)c3ccccc3)c1N2c1ccccc1,F
O=Cc1ccc(C=O)c(-c2ccc3c(c2)C(=O)C=CC3=O)c1,F
CN(C)c1ccc(N2c3ccccc3Oc3ccc(N(c4ccc(F)cc4)c4cc(-c5cc6[nH]ccc6cn5)c(F)c(-c5ncc(C#N)cn5)c4)cc32)cc1,F
Cc1cc(C)c(-n2c3ccc(C)cc3c3cc(C)ccc32)c(-c2ccnc3sc4c(-c5c(C#N)cc(C#N)c(-c6c7ccoc7cc7ccoc67)c5C#N)cccc4c23)c1,F
c1ccc2c(c1)oc1cc(-c3c[nH]c4ccncc34)ccc12,F
O=C(c1ccc(C#Cc2c3c(c(-c4cc5sccc5s4)c4ncsc24)[SH](P(c2ccccc2)c2ccccc2)C=N3)cc1)C(F)(F)F,F
Cc1cc(C)cc(-c2cnco2)c1,F
O=C(c1ccc(-c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1)C(F)(F)F,F
Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(C)cc(Cc3ccc4c(c3)sc3cc(C#N)ccc34)cc2Cc2ccc3ncsc3c2)c(C)c1,F
O=C1C=CC(=O)c2cc(-c3ccc(-c4ccc5c(c4)C(=O)NC5=O)c(N(Cc4ccc(-c5cccs5)s4)c4ccc5c6c(cccc46)C(=O)C5=O)c3)ccc21,F
O=S1(=O)c2ccccc2-c2ccc(-c3ccc(Nc4ccccc4)cc3)cc21,F
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(-c3cccc4c3-c3cccnc3[SiH2]4)cc2C)c2ccccc21,F
Cc1cc([SH]2C=CC=C2c2cccs2)cc(C)c1B1c2ccccc2B(c2c(C)ccc(-n3c4ccccc4c(=O)c4ccccc43)c2C)c2ccccc21,F
COc1cc(OC)cc(Sc2cc3c(cc2-c2ccc(N(C)C)cc2)C(=O)C=CC3=O)c1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3ccc4c5cc(-c6sc(S)cc6N6CCOCC6)ccc5c5nc(C#N)c(C#N)nc5c4c3)s2)C(=O)c2ccccc21,F
COc1cc(OC)cc(N(c2ccc(C)cc2-c2c(OC)cc(OC)cc2OCN(C)c2ccccc2)c2ccc(C)cc2-n2c3ccc(Cl)cc3c3cc(Cl)ccc32)c1,F
c1ccc([SiH]2c3ccccc3-c3ccccc32)c(-c2ccc3c(c2)[SiH2]c2ncccc2-3)c1,F
Cc1cc(C)c(Bc2c(C)cc(C)cc2CN2CCOCC2c2c(C#N)cc(C#N)cc2C#N)c(C)c1,F
N#CC(C#N)=Cc1ccc(Sn2c3ccccc3c3cnccc32)s1,F
N#Cc1ccc(-c2ccc3ncoc3c2)c(C#N)c1C#N,F
O=C1C=C(c2ccc3c(c2)C(=O)NC3=O)C(=O)c2ccccc21,F
N#CC(C#N)=C1c2ccccc2C(=O)c2cc(-c3c4ccoc4cc4ccoc34)ccc21,F
N#Cc1cncnc1-c1c2ncsc2cc2ncsc12,F
COc1cc(Cc2c(Bc3c(C)cc(C)cc3C)c(C)cc(C)c2-c2ccc(-n3c4ccccc4c4ccccc43)c(C3=CC(=O)NC3=O)c2)cc(OC)c1,F
Cc1cc(CN(C)C)cc(-c2ccc(N(C)C)cc2)c1,F
C#Cc1cc(C)cc(C)c1-c1cocn1,F
CN(C)c1ccc(C2=C(c3ccccn3)C(=O)C=CC2=O)cc1,F
O=S1(=O)c2ccccc2-c2ccc(C3COCCN3)cc21,F
CC1(C)c2ccccc2N(SC2COCCN2S)c2ccccc21,F
c1ccc2c(c1)c1cnccc1n2C1CNCCO1,F
O=C1C=CC(=O)C(c2ccc3cccc4c3c2C(=O)C4=O)=C1,F
Cn1cccc1-c1c2c(cc(-c3ccc(P(=O)(c4ccccc4)c4ccccc4N4c5ccccc5N(c5ccccc5)c5ccccc54)cc3)c1-c1ccco1)Oc1ccccc1N2,F
CN(C)c1ccc(-c2cc3ncoc3cc2-c2cccc3c2N(c2ccc4c(c2)sc2cc(C#N)ccc24)c2ccc(-n4c5ccc(Cl)cc5c5cc(Cl)ccc54)cc2O3)cc1,F
COc1cc(OC)c(-c2cc(C=O)ccc2-c2cccc(N(c3ccccc3)c3ccc4c(c3)oc3ccccc34)c2)c(OC)c1,F
CC(=O)c1ccccc1-c1ccc2c(c1)C(=O)c1ccccc1C2=C(C#N)C#N,F
Cc1cccc2c3cccc(C)c3n(C(=C(C#N)C#N)c3ccc(C(=C4C(=O)c5ccccc5C4=C(C#N)C#N)c4ccccc4N(C)C)s3)c12,F
Fc1ccc2c(c1)c1cc(F)ccc1n2-c1c(Pc2ccccc2)cccc1-n1c2ccccc2c2cccnc21,F
N#CC(C#N)=C1C(=Cc2ccc(-c3ccc4c(c3)C(=O)C=CC4=O)cc2)C(=O)c2ccccc21,F
O=Cc1ccc(C2=CC(=O)NC2=O)cc1P(c1ccccc1)c1ccccc1,F
CN(Cc1c2ccoc2cc2ccoc12)c1ccc(C2(n3c4ccccc4c(=O)c4ccccc43)c3ccccc3-c3ccccc32)cc1,F
N#Cc1cc(C#N)c([SH]2C=Nc3cc4scnc4c(-c4ccccn4)c32)c(C#N)c1,F
C1=Nc2ccccc2[SH]1N1c2ccccc2N(c2ccccc2)c2ccccc21,F
C=CC1=C(c2ccc(N(C)C)c3ccccc23)C(=O)C=CC1=O,F
Cc1ccc(N(C2=CC(=O)C=CC2=O)c2ccc(C(c3ccc(C=C(C#N)C#N)s3)N(C)C)cc2)cc1,F
CNc1ccccc1-c1c(OC)cc(OC)cc1OC,F
c1cnc2oc3cc(-c4ccc5c(n4)sc4cc(-c6cc7cc8occc8cc7o6)ccc45)ccc3c2c1,F
CN(C)c1ccc(-c2sc(-c3cccs3)cc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,F
Cc1cc(C)cc(-c2ccc3c(c2)sc2cc(C#N)ccc23)c1,F
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc2Pc2ccccc2)cc1,F
N#CC(C#N)=C1C(=CC2=CC=C[SH]2c2ccc(C=C3C(=O)c4c(cccc4-c4ccc5c(c4)c4ccccc4c4nc(C#N)c(C#N)nc54)C3=C(C#N)C#N)cc2)C(=O)c2ccccc21,F
CN(C)c1ccc(-c2cc(N(c3ccc(F)c(O)c3)c3ccc(F)cc3-c3ccc4[nH]ccc(=O)c4c3)ccn2)cc1,F
C1=Nc2ccc(-c3ccc4c(c3)sc3ccccc34)cc2[SH]1C1c2ccccc2-c2ccccc21,F
CN(C)c1ccc(P(c2ccccc2)c2ccccc2-c2c(C#N)cc(C#N)cc2C#N)cc1,F
N#Cc1cc(C#N)c(-c2ccc3oc4nccc(-c5cocn5)c4c3c2)c(C#N)c1,F
c1nc2cc(-c3c4ccoc4cc4ccoc34)ccc2o1,F
N#Cc1nc2c3ccccc3c3ccc(C=Cc4cccs4)cc3c2nc1C#N,F
CC(=O)c1ccc(-c2cc(=O)c3cc(-c4ccc(P(=O)(c5ccccc5)c5ccc(-c6ncncc6C#N)cc5)cc4N(c4ccc(F)cc4)c4ccc(F)cc4)ccc3[nH]2)cc1,F
CN(C)c1ccc(-c2cc(N(C)Cc3cc4c5c(cccc5c3)-c3nc5cc(C#N)c(C#N)cc5nc3-4)ccc2-c2cc(C=O)cc(-c3ccc(C=C(C#N)C#N)s3)c2C=O)cc1,F
C=Cc1cc(-c2ccc(N(C)C)cc2)ccc1N1CCOCC1N1c2ccccc2Sc2c(-c3ccc(N(C)C)cc3)cccc21,F
N#Cc1cncnc1-c1cc2ccccc2c2ccccc12,F
C=C[SH]1C(c2ccc(N(C)C)cc2)=Cc2sccc21,F
CN(C)c1ccc(-c2cccc(N3c4ccccc4C(C)(C)c4cccc(-c5ccccc5)c43)c2-n2c3ccccc3c3ccccc32)c2ccccc12,F
COc1cc(OC)cc(-c2ccc3ccc4c(-c5c6ncoc6cc6ncoc56)cc(N5c6ccccc6C(C)(C)c6ccc(-c7ncc(C#N)cn7)cc65)nc4c3n2)c1,F
N#CC(C#N)=Cc1ccc(-c2cccc(P(c3cccc(-n4c5ccccc5c5cnccc54)c3)c3cccc4c3[nH]c3ccccc34)c2)s1,F
CN(C)[SH]1C=NC(n2c3ccccc3c3ccccc32)=C1,F
CN(C)c1cccc2c(-c3ccc4cccc5c4c3C(=O)C5=O)ccc(O)c12,F
c1ccc(Nc2cccc(-c3ccc4ncoc4c3)c2-c2ccc(-c3cccnc3)cn2)cc1,F
O=Cc1ccc(C=O)c(N2CCOCC2P(c2ccccc2)c2ccccc2)c1,F
CN(C)c1ccc(P(c2ccc([SiH]3c4ccccc4-c4ccccc43)cc2)c2ccccc2-c2ccc(C=C(C#N)C#N)s2)cc1,F
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1c(F)c(F)c(-c2ccc(N(C)C)cc2)c(F)c1F,F
CN(C)c1ccc(N(C)c2ccccc2N2c3ccccc3[SH](N3CCOCC3)c3ccccc32)cc1,F
Cc1cccc2c3cccc(C)c3n(-c3ccc4oc5ncccc5c4c3)c12,F
O=Cc1ccc(C=O)c(-c2ccc3c(c2)N(c2cccc4c2ccc2ccccc24)c2ccccc2O3)c1,F
COc1cc(OC)cc(-c2cc(F)ccc2Nc2ccc(F)c(-c3ccc4ncn(C)c4c3-c3ccc4c(c3)sc3cc(C#N)ccc34)c2)c1,F
CN(Cc1c2ccoc2cc2ccoc12)c1ccc2ccccc2c1,F
C=CC1COC(c2c(F)c(F)cc(F)c2F)CN1c1ccc(N(C)C)cc1,F
N#Cc1ccc2c(c1)sc1cc(-c3ccc(C#N)c(C#N)c3C#N)c(-n3c4ccccc4c4ccccc43)cc12,F
CN(C)c1ccc(-c2cc3c(cn2)-c2cncc(-c4cc(-c5ccc6ncoc6c5)c5c(P(c6ccccc6)c6ccccc6)ccc6c5c4C(=O)C6=O)c2[SiH2]3)cc1,F
CN(C)c1ccc(-c2c3ncsc3c(C3=CC(=O)NC3=O)c3ncsc23)cc1,F
COc1cc(OC)c(-c2cc(C)ccc2Nc2ccc(C)cc2)c(OC[SiH]2c3ccccc3-c3ccccc32)c1,F
CN(C)c1ccc(-c2cnoc2)cc1-c1c(F)c(F)c(F)c(F)c1F,F
c1cnc2sc3cc(-c4c5[nH]cnc5cc5nc[nH]c45)ccc3c2c1,F
O=P(c1ccccc1)(c1ccccc1)c1ccccc1-c1ccc2c(c1)oc1ccccc12,F
CN(C)c1cc(-c2cc(CN(C)c3ccccc3)ccc2P(=O)(c2ccccc2)c2ccccc2-c2cocn2)c2ccccc2c1,F
O=C1C=C(c2ccc3c(c2)S(=O)(=O)c2ccc(-n4c5ccccc5c5ccccc54)cc2-3)C(=O)C(c2cccc3c2Nc2ccccc2S3)=C1,F
COc1cc(OC)cc(OCc2c3ncoc3cc3nc(-c4ccc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc4)oc23)c1,F
Cc1cccc(Cc2cnoc2)c1,F
CN(C)c1ccc(-c2ccc(C=C(C#N)C#N)s2)cc1-c1ccc2c(c1)[SiH2]c1ncccc1-2,F
C=Cc1cc(N(c2ccc(F)cc2)c2ccc3[nH]cc(C=C)c(=O)c3c2)ccc1F,F
O=C1C=C(c2ccc(-c3ccc(-c4cccc(Nc5ccccc5)c4)s3)s2)C(=O)N1,F
COc1cc(OC)c(-c2cc3cc4occc4c(-c4cccn4C)c3o2)c(OCc2ccc(N(C)C)c(-n3c4c(C)cccc4c4cccc(C)c43)c2)c1,F
Fc1ccc2c(c1)c1cc(F)ccc1n2-c1ccccc1Pc1ccccc1,F
O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2cnc3c(ccc4cccnc43)c2)cc1,F
c1cnc2oc3c(-c4ccc5ncsc5c4)cccc3c2c1,F
C=C(COc1cc(OC)cc(OC)c1)c1c(OC)cc(OC)cc1OC,F
CN(C)c1ccc([SH](Sc2ccc(C=C(C#N)C#N)s2)c2ccc(N(C)C)cc2)cc1,F
C#Cn1cnc2cc3nc[nH]c3c(-c3ccc(N(C)C)cc3)c21,F
Cc1cc(-c2ccc(N(C)C)cc2-c2cccn2C)cc(C)c1B1c2ccccc2B(c2c(C)cccc2C)c2c1cccc2-c1ccc(-c2c3ncsc3cc3ncsc23)n1C,F
CN(C)c1ccc(-c2cccc(-c3ccc(C=O)cc3)c2)cc1,F
O=c1c2ccccc2n(Sc2ccccc2Pc2ccc(-c3ccc4nc(-c5cccc(-c6c(F)c(F)c(F)c(F)c6F)c5)oc4c3)cc2)c2ccccc12,F
N#Cc1cc(On2c3ccccc3c3cnccc32)cc(C#N)c1C#N,F
COc1cc(OC)c(-c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)c(-c2ccc(N(C)C)cc2)c1,F
CN(C)c1ccc(N2CCOCC2c2ccc3[nH]ccc(=O)c3c2)cc1,F
SC1COCC(c2ccc(-c3cccs3)s2)N1,F
COc1cc(OC)c(C2(c3ccc(C(=O)C(F)(F)F)cc3)NCCOC2n2c3c(C)cccc3c3cccc(C)c32)c(OC)c1,F
CN(C)c1ccc(-c2c(-n3c4ccc(Cl)cc4c4cc(Cl)ccc43)ccn2Cc2cc3c(cc2-c2ccc4c(c2)sc2cc(C#N)ccc24)C(=O)C=CC3=O)cc1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3cc(C=O)ccc3C=O)cc2)C(=O)c2ccccc21,F
CN(C)c1ccc(-c2cc(N(C)C)c(-c3cc4[nH]ccc4cn3)cc2C2=C(c3c(F)c(F)c(F)c(F)c3F)C(=O)C=CC2=O)cc1,F
CN(C)c1ccc(N2c3ccccc3[SH](N(C)C)c3cccc(N4c5ccccc5C(C)(C)c5ccccc54)c32)cc1,F
CN(C)c1ccc([PH](c2ccccc2)(c2ccccc2)c2ccc3c(c2)sc2ncccc23)cc1,F
CC(=O)c1ccc(-c2c(-c3cnc4sc5ccccc5c4c3-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ncc3c2[SiH2]c2ccncc2-3)cc1,F
Cn1cccc1-c1ccccc1-c1nc2cccc(-c3ccc4[nH]c(-c5c6ccoc6cc6ccoc56)cc(=O)c4c3)c2o1,F
C=Cc1cccc2c1ccc1ccccc12,F
SC1(c2c3[nH]cnc3cc3nc[nH]c23)COCCN1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3ccc(-c4nc5ccc(-c6ccc(C(=O)C(F)(F)F)cc6)cc5o4)cc3)cc2)C(=O)c2ccccc21,F
CN(C)c1cc(-c2c3ncoc3cc3ncoc23)cc2ccc(-c3ccc4ncoc4c3)cc12,F
N#CC(C#N)=Cc1ccc(-c2cc3[nH]ccc3cn2)s1,F
COc1ccc(-c2ccc3c(c2)oc2ccccc23)c(OC)c1,F
C#Cc1c2[nH]cnc2cc2nc(-c3ccc4c(c3)[SiH2]c3ncccc3-4)[nH]c12,F
COc1cc(OCc2c3[nH]cnc3cc3nc[nH]c23)cc(-c2ccccc2S(C)(=O)=O)c1,F
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(C3COCCN3)cc2C)c2cc(-c3ccc4ncoc4c3)ccc21,F
COc1cc(OC)cc(-c2ccc3c(-n4c5c(C)cccc5c5cccc(C)c54)c(N(C)C)cc(-c4ccc(N(C)C)cc4)c3c2)c1,F
N#CC(C#N)=C1C(=C(c2ccccc2)c2ncc3c(c2-c2cc(C=O)ccc2C=O)[SiH2]c2ccncc2-3)C(=O)c2ccccc21,F
COc1cc(OC(c2ccc3c(c2)C(=O)NC3=O)c2cc3ccccc3c3ccccc23)cc(OC)c1-c1c2ncoc2cc2ncoc12,F
c1ccc(N2CCOC(c3ncc(-c4cccnc4)cc3-c3ccc4ncoc4c3)C2)cc1,F
Cc1cccc2c3cccc(C)c3n(C3=C(c4cc(F)c(-n5c6ccc(F)cc6c6cc(F)ccc65)cc4Nc4ccc(F)cc4)C(=O)N(C4c5ccccc5-c5ccccc54)C3=O)c12,F
C=Cc1cc(-c2ccc(N(C)C)cc2)ccc1N1CCOC(c2ncc(C#N)cn2)C1N1c2ccccc2Sc2ccccc21,F
CN(C)c1cc(-c2cc(F)ccc2N(c2ccc(F)cc2)c2ccc3c(c2)ncn3C)c2ccccc2c1,F
Cc1cc(C)c(B(c2ccc(N(C)C)cc2)c2c(CN3c4ccccc4N(c4ccccc4)c4ccccc43)cc(C)c(N3CCOCC3)c2C)c(C)c1,F
C#Cc1c2ncoc2cc2nc(-c3ncoc3-c3ccc4[nH]ccc(=O)c4c3)oc12,F
CN(Cc1c2ccoc2c(O)c2ccoc12)c1cccc2ccccc12,F
Cc1cc(C)cc(C2CN(c3ccc(-c4ccc(N(C)C)cc4-c4ccc(N(C)C)cc4)c(-c4c5ncoc5cc5ncoc45)c3)CCO2)c1,F
Sc1ccc(P(c2ccccc2)c2cc(-c3cnoc3)c3c(c2)N(c2cccc(Nc4ccccc4)c2)c2ccccc2N3c2ccccc2)cc1,F
CC1(C)c2ccccc2N(c2c(F)c(F)c(F)c(F)c2F)c2ccccc21,F
CN(c1ccccc1)c1cccc2c1C(c1ccc(C=C(C#N)C#N)s1)c1ccccc1-2,F
Cn1cccc1-c1ccc(-c2cccs2)c2ocnc12,F
N#CC(C#N)=CC1=CC=C[SH]1N1c2ccccc2N(c2cccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)c2)c2ccccc21,F
C#Cc1cc(C)ccc1N(c1ccc(Cc2ccc(C=O)c(-c3ccc(N(C)C)c4ccccc34)c2)cc1)c1ccc(N(C)C)cc1,F
Cn1cnc2ccc([SH]3C=NC(c4csc(-n5c6ccccc6c6cccnc65)c4)=C3)cc21,F
C=CC1(c2ccc(S(C)(=O)=O)cc2)COCCN1,F
Cc1ccc(N(c2ccc(C)cc2)c2ccc(Pc3ccc(-c4ccc5nc(-c6cccc(-c7c(F)c(F)c(F)c(F)c7F)c6)oc5c4)cc3)c(S)c2)cc1,F
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1cccc(Pc2ccccc2)c1,F
SN1CCOCC1Sc1cc2ccccc2c2ccccc12,F
N#Cc1cc(N2CCOCC2)cc(C#N)c1C#N,F
O=c1c2ccccc2n(-c2ccsc2-c2sccc2-c2ccco2)c2ccccc12,F
N#CC(C#N)=C1c2ccccc2C(=O)c2cc(-c3c4ncoc4c(-c4cnoc4)c4ncoc34)ccc21,F
CN(c1ccccc1)c1ccc2c(c1)N(c1ccc(-c3ccc4ncn(C)c4c3)cc1)c1ccccc1N2n1c2ccccc2c2cccnc21,F
Fc1ccc(N(c2ccc(F)c(-c3cc4c(cn3)-c3cnccc3[SiH2]4)c2)c2cncc3c4cnccc4n(-c4c5[nH]cnc5cc5nc[nH]c45)c23)cc1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3cccc4c3Nc3ccccc3N4c3ccccc3)s2)C(=O)c2ccccc21,F
C#CC(Oc1cc(S)cc(OC)c1)c1ccc(C=C2C(=O)c3ccccc3C2=C(C#N)C#N)cc1,F
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cccc2Cc2cccn2C)c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3-c3cccn3C)cc21,F
CN(C)c1ccc(-c2ccc3c(c2-c2ccc4c(c2)oc2ncccc24)C(=O)NC3=O)cc1,F
COc1cc(OCc2ccc(N(C)C)cc2)cc(-c2ccc3c(c2)C(=O)C=CC3=O)c1,F
CN(C)c1ccc(-c2cc(C(=O)c3ccc(-c4cccs4)s3)c(-c3ccc4c(c3)C(=O)c3ccccc3C4=C(C#N)C#N)cc2C=O)cc1,F
CN(Cc1ccc(N2CCOCC2)cc1)c1cc(-c2cc3[nH]ccc3cn2)cc2c1Nc1c(cccc1-c1ccc3c(c1)C(=O)C=CC3=O)O2,F
N#Cc1cnc(-c2ccc3c(c2)sc2ccccc23)nc1,F
N#CC(C#N)=C1C(=Cc2ccc(-c3cncc4cc(-n5c6ccccc6c6cccnc65)[nH]c34)cc2)C(=O)c2ccccc21,F
Fc1ccc(N(c2ccc(F)c(-c3ccc4ncsc4c3)c2)[SH]2C=CC=C2c2cc(-c3c4ncoc4cc4ncoc34)cs2)c(-n2c3ccncc3c3cnccc32)c1,F
N#CC(C#N)=C1c2ccccc2C(=O)c2cc(-c3cc(-n4c5ccccc5c(=O)c5cccc(-c6ccc7c(c6)oc6nccc(S)c67)c54)ccc3C(=O)C(F)(F)F)ccc21,F
Cc1cc(-c2ccc(N(C)C)cc2)cc(C)c1B1c2ccccc2B(c2c(C)cccc2Cc2c3ncoc3cc3ncoc23)c2ccccc21,F
Cc1cc(CN2c3ccccc3N(c3ccccc3)c3ccccc32)cc(C)c1Bc1c(C)cc(C)c(-c2ncc(C#N)cn2)c1C,F
O=c1cc[nH]c2ccc(-c3cc(-c4ccc5c(c4)oc4ncccc45)cc(-n4c5ccccc5c5ccccc54)c3)cc12,F
COc1cc(OC)c(-c2ccn(C)c2-c2ccc(N(C)C)cc2)c(OC)c1,F
O=c1cc[nH]c2ccc(-c3ccc(P(c4ccccc4)c4c5ccoc5cc5ccoc45)cc3)cc12,F
N#Cc1cc(C#N)c(-c2ncncc2C#N)c(C#N)c1,F
O=Cc1ccc(-c2cc(-c3cc4c(cc3-c3cc5ccccc5c5ccccc35)N(c3ccccc3)c3ccccc3N4)cc3sc4ncccc4c23)cc1,F
CN(C)c1ccc(-c2c3c(cc4ncsc24)[SH](c2c(C#N)cc(C#N)c(-c4c(C#N)cc(C#N)cc4C#N)c2C#N)C=N3)cc1-c1ccc(C=C(C#N)C#N)s1,F
c1nc2cc3nc[nH]c3c(-c3c4ncoc4cc4ncoc34)c2[nH]1,F
CC1(C)c2ccccc2N(c2cc(-c3c4ncoc4c(-c4cc5ccccc5c5ccccc45)c4ncoc34)c3ccc4cccnc4c3n2)c2ccccc21,F
C1=Nc2ccccc2[SH]1c1ccc2c(c1)sc1ccccc12,F
